Date,Open,High,Low,Close,Change(Pips),Change(%)
12/31/2020,103.167,103.317,102.996,103.303,13.6,0.13
12/30/2020,103.57,103.585,102.958,103.207,-36.3,-0.35
12/29/2020,103.804,103.823,103.464,103.533,-27.1,-0.26
12/28/2020,103.499,103.899,103.405,103.78,28.1,0.27
12/24/2020,103.559,103.767,103.501,103.641,8.2,0.08
12/23/2020,103.624,103.651,103.354,103.539,-8.5,-0.08
12/22/2020,103.319,103.735,103.281,103.613,29.4,0.28
12/21/2020,103.495,103.893,103.253,103.288,-20.7,-0.20
12/18/2020,103.08,103.595,103.073,103.31,23,0.22
12/17/2020,103.456,103.561,102.873,103.079,-37.7,-0.37
12/16/2020,103.663,103.916,103.258,103.417,-24.6,-0.24
12/15/2020,104.032,104.154,103.608,103.649,-38.3,-0.37
12/14/2020,103.977,104.104,103.51,104.035,5.8,0.06
12/11/2020,104.222,104.271,103.821,104.033,-18.9,-0.18
12/10/2020,104.219,104.579,104.164,104.214,-0.5,0.00
12/09/2020,104.155,104.403,104.05,104.232,7.7,0.07
12/08/2020,104.049,104.206,103.954,104.162,11.3,0.11
12/07/2020,104.091,104.312,103.922,104.049,-4.2,-0.04
12/04/2020,103.829,104.244,103.738,104.184,35.5,0.34
12/03/2020,104.403,104.533,103.67,103.84,-56.3,-0.54
12/02/2020,104.31,104.753,104.227,104.412,10.2,0.10
12/01/2020,104.283,104.577,104.181,104.307,2.4,0.02
11/30/2020,104.018,104.407,103.83,104.309,29.1,0.28
11/27/2020,104.261,104.287,103.909,104.096,-16.5,-0.16
11/26/2020,104.447,104.473,104.215,104.242,-20.5,-0.20
11/25/2020,104.433,104.598,104.255,104.462,2.9,0.03
11/24/2020,104.492,104.76,104.144,104.441,-5.1,-0.05
11/23/2020,103.729,104.637,103.682,104.548,81.9,0.78
11/20/2020,103.735,103.91,103.702,103.834,9.9,0.10
11/19/2020,103.827,104.219,103.719,103.747,-8.0,-0.08
11/18/2020,104.188,104.209,103.655,103.798,-39.0,-0.38
11/17/2020,104.573,104.598,104.07,104.184,-38.9,-0.37
11/16/2020,104.713,105.137,104.363,104.566,-14.7,-0.14
11/13/2020,105.129,105.152,104.565,104.613,-51.6,-0.49
11/12/2020,105.426,105.479,105.071,105.124,-30.2,-0.29
11/11/2020,105.274,105.677,105.007,105.431,15.7,0.15
11/10/2020,105.348,105.484,104.817,105.243,-10.5,-0.10
11/09/2020,103.299,105.649,103.189,105.39,209.1,1.98
11/06/2020,103.455,103.759,103.175,103.364,-9.1,-0.09
11/05/2020,104.501,104.545,103.444,103.518,-98.3,-0.95
11/04/2020,104.447,105.344,104.15,104.518,7.1,0.07
11/03/2020,104.66,104.821,104.433,104.501,-15.9,-0.15
11/02/2020,104.447,104.95,104.447,104.751,30.4,0.29
10/30/2020,104.587,104.74,104.122,104.668,8.1,0.08
10/29/2020,104.316,104.725,104.023,104.608,29.2,0.28
10/28/2020,104.405,104.554,104.11,104.316,-8.9,-0.09
10/27/2020,104.83,104.891,104.39,104.416,-41.4,-0.40
10/26/2020,104.667,105.054,104.648,104.831,16.4,0.16
10/23/2020,104.864,104.935,104.545,104.712,-15.2,-0.15
10/22/2020,104.584,104.922,104.476,104.884,30.0,0.29
10/21/2020,105.497,105.531,104.342,104.581,-91.6,-0.88
10/20/2020,105.417,105.747,105.34,105.506,8.9,0.08
10/19/2020,105.268,105.503,105.268,105.432,16.4,0.16
10/16/2020,105.439,105.458,105.187,105.398,-4.1,-0.04
10/15/2020,105.161,105.492,105.05,105.419,25.8,0.24
10/14/2020,105.468,105.515,105.034,105.162,-30.6,-0.29
